ID Number,First Name,Last Name,CORE?,Last Contact Date,Phone Number,Email
1067,Gerda,O'Cosgra,,2016-06-01,215-237-7069,gocosgra1u@newsvine.com
1071,Donal,Menary,,2016-06-01,570-737-6920,dmenary1y@clickbank.net
1085,Rey,McSaul,,2016-06-01,717-271-6113,rmcsaul2c@hc360.com
1088,Gerry,Antecki,,2016-06-01,412-460-3799,gantecki2f@feedburner.com
1092,Wilt,Elger,,2016-06-01,215-684-1890,welger2j@thetimes.co.uk
1095,Nerissa,Brandone,,2016-06-01,412-502-6335,nbrandone2m@scientificamerican.com
1099,Editha,Cromwell,,2016-06-01,412-820-5924,ecromwell2q@bbb.org
1007,Smitty,Aldin,,2017-06-01,215-280-7492,saldin6@instagram.com
1015,Shina,Gash,,2017-06-01,814-214-3003,sgashe@nsw.gov.au
1019,Hanni,Speeks,,2017-06-01,814-135-2373,hspeeksi@themeforest.net
1031,Berri,MacInerney,,2017-06-01,267-113-5136,bmacinerneyu@ehow.com
1036,Reynard,Staning,,2017-06-01,-6790,rstaningz@wp.com
1038,Abbe,Anthonies,,2017-06-01,717-672-1578,aanthonies11@tiny.cc
1043,Nerty,MacMeeking,,2017-06-01,484-294-1170,nmacmeeking16@dell.com
1076,Roth,Robyns,,2017-06-01,484-764-5803,rrobyns23@soundcloud.com
1077,Gerhard,Hengoed,,2017-06-01,412-995-9065,ghengoed24@t-online.de
1082,Jany,Pfeffle,,2017-06-01,215-510-6202,jpfeffle29@abc.net.au
1086,Rossie,Hanniger,,2017-06-01,412-654-0226,rhanniger2d@mapy.cz
1094,Blair,Clewlowe,,2017-06-01,814-405-3684,bclewlowe2l@dagondesign.com
1004,Ives,Proschek,,2018-06-01,267-417-5898,iproschek3@guardian.co.uk
1018,Rheba,Duester,,2018-06-01,215-686-1040,rduesterh@facebook.com
1034,Cad,de Guerre,,2018-06-01,215-309-4936,cdex@macromedia.com
1051,Olvan,Sedgmond,,2018-06-01,215-801-4730,osedgmond1e@google.com.au
1055,Alfy,Cullivan,,2018-06-01,215-889-5729,acullivan1i@aboutads.info
1059,Frederik,Gartenfeld,,2018-06-01,267-247-7317,fgartenfeld1m@goo.ne.jp
1061,Davida,Douberday,,2018-06-01,412-450-4329,ddouberday1o@google.pl
1062,Lezlie,Stobart,,2018-06-01,610-789-9100,lstobart1p@ehow.com
1078,Pammi,Dury,,2018-06-01,610-860-5691,pdury25@accuweather.com
1006,Giacinta,Stenbridge,,2019-06-01,610-543-0299,gstenbridge5@technorati.com
1009,Linnell,Burgher,,2019-06-01,412-877-9368,lburgher8@technorati.com
1025,Ike,McGaw,,2019-06-01,717-904-9171,imcgawo@microsoft.com
1029,Berkly,Wane,,2019-06-01,570-389-7445,bwanes@cbslocal.com
1035,Tedman,Keese,,2019-06-01,570-630-0952,tkeesey@bloglines.com
1040,Omar,Tadman,,2019-06-01,484-782-8931,otadman13@home.pl
1045,Cornie,Bagg,,2019-06-01,610-582-1841,cbagg18@apache.org
1056,Maighdiln,Lamperd,,2019-06-01,724-438-6323,mlamperd1j@gnu.org
1065,Eddie,Szymonwicz,,2019-06-01,724-584-0567,eszymonwicz1s@google.com.br
1069,Penny,Twinborough,,2019-06-01,570-285-3026,ptwinborough1w@alibaba.com
1084,Dacy,Dargue,,2019-06-01,412-288-2091,ddargue2b@pagesperso-orange.fr
1098,Juana,Gear,,2019-06-01,215-436-9366,jgear2p@usa.gov
1013,Jamal,Lorant,,2020-06-01,570-631-7632,jlorantc@devhub.com
1014,Benedikta,Scholey,,2020-06-01,610-809-9300,bscholeyd@discuz.net
1017,Torrie,Donlon,,2020-06-01,717-300-8567,tdonlong@a8.net
1047,Leeann,Wetherby,,2020-06-01,570-573-8240,lwetherby1a@ycombinator.com
1057,Thornie,Yelden,,2020-06-01,717-979-7150,tyelden1k@live.com
1060,Kendricks,Hubback,,2020-06-01,814-835-7259,khubback1n@netlog.com
1064,Neille,Keemer,,2020-06-01,814-901-6842,nkeemer1r@vimeo.com
1074,Jaquith,Linley,,2020-06-01,484-678-1485,jlinley21@blogtalkradio.com
1080,Travis,Fateley,,2020-06-01,717-546-9848,tfateley27@csmonitor.com
